"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2021","25",NA,"Crab","0.335531074672953","0.147575757090914","0.8","0.8","0","1","Astoria"
"2021","3",NA,"Non-DTS groundfish","0.695232216841794","1","0.4","0.4","0.7","1","Astoria"
"2021","21",NA,"Pink shrimp","0.232463948032599","0.0960823766747475","0","0","0","0.6","Astoria"
"2021","30",NA,"Salmon","0.00956893380566563","0.00421341929715322","0","0","0.7","0.8","Astoria"
"2021","35",NA,"Tuna","0.0662756234234803","0.0140877552983949","0.4","0.4","0","0.6","Astoria"
"2021","2",NA,"Whiting","0.660928203223508","0.995088880538562","0","0","0","0.8","Astoria"
"2021","30",NA,"Salmon","0.1395991400725","0.306919704262879","0","0","0","0.222222222222222","Puget Sound"
"2021","25",NA,"Crab","0.684531870957125","1","0.527777777777778","0.527777777777778","0.388888888888889","0.777777777777778","Puget Sound"
"2021","60",NA,"Echinoderms","0.0056653791271521","0.0125693991316697","0","0","0","0.111111111111111","Puget Sound"
"2021","20",NA,"Prawns/shrimp","0.407059884016673","0.878475266709339","0.166666666666667","0.166666666666667","0","0.222222222222222","Puget Sound"
"2021","1",NA,"DTS groundfish","0.418029963096814","0.491069660576375","0.166666666666667","0.166666666666667","0","0.333333333333333","Puget Sound"
"2021","35",NA,"Tuna","0.0191508768726244","0.0418715986709537","0","0","0.166666666666667","0.333333333333333","Puget Sound"
"2021","50",NA,"Pacific halibut","0.312311087784612","0.349208151682645","0","0","0.388888888888889","0.444444444444444","Puget Sound"
"2021","40",NA,"Herring","0","0","0","0","0","0","Puget Sound"
"2021","21",NA,"Pink shrimp","0.0136517980724992","0.0272100379400578","0","0","0.166666666666667","0.222222222222222","Puget Sound"
"2021","80",NA,"Other","0","0","0","0","0","0","Puget Sound"
"2021","30",NA,"Salmon","0.383519036247065","0","0","0","0.0666666666666667","0.5","North WA Coast"
"2021","50",NA,"Pacific halibut","0.417908973183939","0","0.133333333333333","0.133333333333333","0","0.5","North WA Coast"
"2021","60",NA,"Echinoderms","0","0","0","0","0","0","North WA Coast"
"2021","20",NA,"Prawns/shrimp","0.445791661490602","1","0","0","0","0.166666666666667","North WA Coast"
"2021","25",NA,"Crab","0.445791661490602","1","0","0","0","0.166666666666667","North WA Coast"
"2021","1",NA,"DTS groundfish","0.15926580763616","0","0","0","0","0.333333333333333","North WA Coast"
"2021","35",NA,"Tuna","0.147722859951631","0","0","0","0.0666666666666667","0.333333333333333","North WA Coast"
"2021","35",NA,"Tuna","0.530998734766001","0.791272977765332","0.5","0.5","0","0.5","WA Coast"
"2021","25",NA,"Crab","0.923514253560865","1","0.833333333333333","0.833333333333333","0.5","1","WA Coast"
"2021","30",NA,"Salmon","0.130466771848347","0.191471865716069","0","0","0.5","0.75","WA Coast"
"2021","21",NA,"Pink shrimp","0.360096769286608","0.606195067313608","0","0","0","0.25","WA Coast"
"2021","2",NA,"Whiting","0.054923470538179","0.0909774134073627","0","0","0","0.5","WA Coast"
"2021","35",NA,"Tuna","0.530998734766001","0.791272977765332","0.5","0.5","0","0.5","WA Coast"
"2021","25",NA,"Crab","0.923514253560865","1","0.833333333333333","0.833333333333333","0.5","1","WA Coast"
"2021","30",NA,"Salmon","0.130466771848347","0.191471865716069","0","0","0.5","0.75","WA Coast"
"2021","21",NA,"Pink shrimp","0.360096769286608","0.606195067313608","0","0","0","0.25","WA Coast"
"2021","2",NA,"Whiting","0.054923470538179","0.0909774134073627","0","0","0","0.5","WA Coast"
"2021","25",NA,"Crab","0.335531074672953","0.147575757090914","0.8","0.8","0","1","Astoria"
"2021","3",NA,"Non-DTS groundfish","0.695232216841794","1","0.4","0.4","0.7","1","Astoria"
"2021","21",NA,"Pink shrimp","0.232463948032599","0.0960823766747477","0","0","0","0.6","Astoria"
"2021","30",NA,"Salmon","0.00956893380566563","0.00421341929715322","0","0","0.7","0.8","Astoria"
"2021","35",NA,"Tuna","0.0662756234234803","0.0140877552983949","0.4","0.4","0","0.6","Astoria"
"2021","2",NA,"Whiting","0.660928203223508","0.995088880538562","0","0","0","0.8","Astoria"
"2021","3",NA,"Non-DTS groundfish","0.0316025498501227","0.0259535937428195","0","0","0.7","0.8","Tillamook"
"2021","25",NA,"Crab","0.945224757703244","1","0.9","0.9","0.4","1","Tillamook"
"2021","35",NA,"Tuna","0.884771152236076","0.995688754663521","0.4","0.4","0","0.8","Tillamook"
"2021","1",NA,"DTS groundfish","0.0133223110739307","0.015530333354287","0","0","0.6","0.6","Tillamook"
"2021","30",NA,"Salmon","0.12353014540767","0.132843267120336","0","0","0","0.6","Tillamook"
"2021","65",NA,"Shellfish","0.00154908372895611","0.00182486656521833","0","0","0","0.2","Tillamook"
"2021","30",NA,"Salmon","NaN","1",NA,NA,"NaN","NaN","Columbia River"
"2021","25",NA,"Crab","0.941191982146367","1","0.9","0.9","0","1","Newport"
"2021","70",NA,"Squid","0.0773381392032459","0.129529325625336","0","0","0.4","0.8","Newport"
"2021","35",NA,"Tuna","0.349667302740247","0.578053550538248","0","0","0","0.8","Newport"
"2021","30",NA,"Salmon","0.0962903756175911","0.142513704323814","0","0","0.8","0.8","Newport"
"2021","21",NA,"Pink shrimp","0.415796932178013","0.776658907385462","0","0","0","0.6","Newport"
"2021","2",NA,"Whiting","0.119715268114536","0.206798776174759","0","0","0.4","0.8","Newport"
"2021","21",NA,"Pink shrimp","0.374007312884861","0.699848714325876","0","0","0","0.6","Coos Bay"
"2021","25",NA,"Crab","0.908837067660743","1","0.9","0.9","0","1","Coos Bay"
"2021","70",NA,"Squid","0.104592306541717","0.18692185473843","0","0","0","0.4","Coos Bay"
"2021","1",NA,"DTS groundfish","0.391043496994322","0.68786823948483","0","0","0.8","1","Coos Bay"
"2021","30",NA,"Salmon","0.0542600404458361","0.0511124964975701","0","0","0.4","0.6","Coos Bay"
"2021","35",NA,"Tuna","0.167259775472521","0.251386830705285","0.4","0.4","0.4","0.8","Coos Bay"
"2021","1",NA,"DTS groundfish","0.453890143294581","0.823337521085768","0","0","0","1","Brookings"
"2021","25",NA,"Crab","0.89863496510568","1","1","1","0","1","Brookings"
"2021","3",NA,"Non-DTS groundfish","0.215327702882555","0.374231969303486","0","0","0.4","1","Brookings"
"2021","30",NA,"Salmon","0.0602994827678558","0.101858285442738","0","0","0.4","0.8","Brookings"
"2021","35",NA,"Tuna","0.124374532379422","0.231133346079666","0","0","0.2","0.8","Brookings"
"2021","21",NA,"Pink shrimp","0.247473173569907","0.469912825354304","0","0","0","0.6","Brookings"
"2021","25",NA,"Crab","0.993121437460358","1","1","1","0","1","Crescent City"
"2021","80",NA,"Other","0.0058797540108338","0.00883422472848752","0","0","0.5","0.5","Crescent City"
"2021","35",NA,"Tuna","0.251128150172129","0.394627356172582","0","0","0","0.5","Crescent City"
"2021","20",NA,"Prawns/shrimp","0.557520829928304","0.870103123621327","0","0","0.666666666666667","0.75","Crescent City"
"2021","3",NA,"Non-DTS groundfish","0.192349828428375","0.301345832933815","0","0","0.5","0.75","Crescent City"
"2021","25",NA,"Crab","0.726009886885553","0.999138453472551","0.666666666666667","0.666666666666667","0","1","Eureka"
"2021","1",NA,"DTS groundfish","0.66159541891796","1","0","0","0","1","Eureka"
"2021","3",NA,"Non-DTS groundfish","0.519756805428146","0.830766094852657","0","0","0","1","Eureka"
"2021","35",NA,"Tuna","0.0926378887683405","0.147744191077485","0","0","1","1","Eureka"
"2021","65",NA,"Shellfish","0","0","0","0","0","0","Morro Bay"
"2021","3",NA,"Non-DTS groundfish","0.711462633340199","1","0.666666666666667","0.666666666666667","0","0.857142857142857","Morro Bay"
"2021","55",NA,"CA halibut/croaker","0.349601961811587","0.699001375525406","0","0","0","0.714285714285714","Morro Bay"
"2021","80",NA,"Other","0.289555027124942","0.58456659745591","0","0","0.285714285714286","0.714285714285714","Morro Bay"
"2021","30",NA,"Salmon","0.336341668693987","0.698000569720994","0","0","0","0.571428571428571","Morro Bay"
"2021","35",NA,"Tuna","0.0692591762077055","0.143258396095711","0","0","0.238095238095238","0.571428571428571","Morro Bay"
"2021","25",NA,"Crab","0.107198618470736","0.0950748441392546","0","0","0.428571428571429","0.571428571428571","Morro Bay"
"2021","20",NA,"Prawns/shrimp","0.136580914350844","0.163979818271999","0.238095238095238","0.238095238095238","0","0.285714285714286","Morro Bay"
"2021","30",NA,"Salmon","0.235856288958928","0.227806635359811","0.4","0.4","0","0.8","Fort Bragg"
"2021","1",NA,"DTS groundfish","0.718790045908033","1","0","0","0","0.8","Fort Bragg"
"2021","3",NA,"Non-DTS groundfish","0.66391295120688","0.988725944092078","0.4","0.4","0","1","Fort Bragg"
"2021","25",NA,"Crab","0.370109587435458","0.407704714541166","0.4","0.4","0","0.8","Fort Bragg"
"2021","35",NA,"Tuna","0.00905065231648054","0.0049126267030525","0","0","1","1","Fort Bragg"
"2021","60",NA,"Echinoderms","0.00228047417422032","0.00314387325732516","0","0","0","0.4","Fort Bragg"
"2021","25",NA,"Crab","0.987855051848341","0.999924434135486","0","0","0","0.5","Bodega Bay"
"2021","30",NA,"Salmon","1","1","1","1","1","1","Bodega Bay"
"2021","55",NA,"CA halibut/croaker","0.0121449481516591","0.0122933322914432","0","0","0","0.5","Bodega Bay"
"2021","30",NA,"Salmon","0.82335352750925","0.988466297713722","0","0","0","0.666666666666667","San Francisco"
"2021","25",NA,"Crab","0.966262332183041","1","1","1","0.666666666666667","1","San Francisco"
"2021","20",NA,"Prawns/shrimp","0.0749848074158972","0.0932001420784211","0","0","0","0.333333333333333","San Francisco"
"2021","55",NA,"CA halibut/croaker","0.135399332891811","0.167806938992222","0","0","0.666666666666667","0.666666666666667","San Francisco"
"2021","35",NA,"Tuna","0.689641041620454","1","0.571428571428571","0.571428571428571","0.214285714285714","0.75","San Diego"
"2021","80",NA,"Other","0.585778363304594","0.958844877146095","0.25","0.25","0.25","1","San Diego"
"2021","3",NA,"Non-DTS groundfish","0.0579456796223627","0.0336817619979615","0","0","0","0.75","San Diego"
"2021","45",NA,"Coastal pelagics","0.0130208616159783","0.0140680352842952","0","0","0.714285714285714","0.75","San Diego"
"2021","60",NA,"Echinoderms","0.0079996639258056","0.0102956425824362","0","0","0","0.25","San Diego"
"2021","65",NA,"Shellfish","0.376906632267164","0.324396827639136","0.714285714285714","0.714285714285714","0.178571428571429","1","San Diego"
"2021","25",NA,"Crab","0.126656280533496","0.0661143722548467","0.214285714285714","0.214285714285714","0.392857142857143","0.875","San Diego"
"2021","55",NA,"CA halibut/croaker","0.105682320670352","0.0921230646547058","0","0","0","0.75","San Diego"
"2021","20",NA,"Prawns/shrimp","0.0363691564397935","0.0196469587652689","0","0","0","0.375","San Diego"
"2021","55",NA,"CA halibut/croaker","0.167268614447966","0.359660395006044","0","0","0","0.833333333333333","Monterey"
"2021","70",NA,"Squid","0","0","0","0","0","0","Monterey"
"2021","30",NA,"Salmon","0.6320257723896","1","0.466666666666667","0.466666666666667","0","0.833333333333333","Monterey"
"2021","3",NA,"Non-DTS groundfish","0.253948864900448","0.476963134254479","0","0","0.266666666666667","0.833333333333333","Monterey"
"2021","1",NA,"DTS groundfish","0.42315191164371","0.752919310160562","0.266666666666667","0.266666666666667","0.2","0.833333333333333","Monterey"
"2021","25",NA,"Crab","0.42763875681187","0.883357618038457","0","0","0","0.833333333333333","Monterey"
"2021","35",NA,"Tuna","0.0959660798064057","0.213712616891914","0","0","0.466666666666667","0.833333333333333","Monterey"
"2021","65",NA,"Shellfish","0.694060543223957","1","0.555555555555556","0.555555555555556","0","0.777777777777778","Santa Barbara"
"2021","20",NA,"Prawns/shrimp","0.142775159485716","0.199169157802686","0","0","0","0.888888888888889","Santa Barbara"
"2021","25",NA,"Crab","0.474499309135656","0.899922874730357","0.166666666666667","0.166666666666667","0","0.777777777777778","Santa Barbara"
"2021","35",NA,"Tuna","0.0200388593794768","0.00958290154011376","0","0","0.277777777777778","0.666666666666667","Santa Barbara"
"2021","55",NA,"CA halibut/croaker","0.175153413087532","0.138703280341917","0","0","0.277777777777778","0.888888888888889","Santa Barbara"
"2021","80",NA,"Other","0.198957849964648","0.153838258795777","0.361111111111111","0.361111111111111","0","0.888888888888889","Santa Barbara"
"2021","70",NA,"Squid","0.0190903207127698","0.00670373277762697","0","0","0.222222222222222","0.444444444444444","Santa Barbara"
"2021","1",NA,"DTS groundfish","0.0569031344800445","0.0823674069560623","0","0","0.527777777777778","0.777777777777778","Santa Barbara"
"2021","60",NA,"Echinoderms","0.218521410530199","0.444389864193026","0","0","0","0.777777777777778","Santa Barbara"
"2021","30",NA,"Salmon","0","1.86766845310636e-24","0","0","0","0","Santa Barbara"
"2021","70",NA,"Squid","0.672943955684838","0.987056587665555","0.428571428571429","0.428571428571429","0.142857142857143","0.625","Los Angeles"
"2021","3",NA,"Non-DTS groundfish","0.0476250409811132","0.014705767434394","0.25","0.25","0.392857142857143","0.75","Los Angeles"
"2021","35",NA,"Tuna","0.748097248983118","1","0.607142857142857","0.607142857142857","0","0.875","Los Angeles"
